"레시피ID","레시피명","입력자원","출력자원","필요장비","공정단계","진행티어","권장레벨범위","퀘스트난이도","일일목표수량","주간목표수량","깜짝목표수량","보상룰ID목록","퀘스트생성태그","LLM설명힌트","선행레시피","생산순서","자주발생문제","원본레시피명","원본장비타입","제작시간"
"recipe_smelt_titanium","티타늄괴 제작 공정","티타늄광석(resource_titanium_ore):2","티타늄괴(resource_titanium_ingot):1","제련기(equipment_smelter)","제련","T4","16-20","고급","3","12","2","reward_daily_t4; reward_weekly_t4; reward_surprise_t4","생산; recipe_based; main_quest_material","티타늄괴(resource_titanium_ingot):1 확보가 필요한 메인 퀘스트와 연결해 제련기(equipment_smelter) 공정을 설명한다.","","티타늄광석 투입 > 제련기 가공 > 티타늄괴 출력","입력 자원 부족(issue_no_input); 전력 부족(issue_no_power); 출력 공간 부족(issue_output_full); 컨베이어 막힘(issue_conveyor_blocked); 잘못된 장비 사용(issue_wrong_machine_type); 자원 상태 불일치(issue_wrong_material_state)","Smelt_Titanium","제련기(Smelter)","3.0"
"recipe_crush_titanium","티타늄 분말 제작 공정","티타늄괴(resource_titanium_ingot):1","티타늄 분말(resource_titanium_powder):2","분쇄기(equipment_grinder)","분쇄","T4","16-20","고급","2","8","1","reward_daily_t4; reward_weekly_t4; reward_surprise_t4","가공; recipe_based; main_quest_material","티타늄 분말(resource_titanium_powder):2 확보가 필요한 메인 퀘스트와 연결해 분쇄기(equipment_grinder) 공정을 설명한다.","티타늄괴 제작 공정(recipe_smelt_titanium)","티타늄괴 투입 > 분쇄기 가공 > 티타늄 분말 출력","입력 자원 부족(issue_no_input); 전력 부족(issue_no_power); 출력 공간 부족(issue_output_full); 컨베이어 막힘(issue_conveyor_blocked); 잘못된 장비 사용(issue_wrong_machine_type); 자원 상태 불일치(issue_wrong_material_state)","Crush_Titanium","분쇄기(Grinder)","1.5"
"recipe_smelt_magnesium","마그네슘괴 제작 공정","마그네슘광석(resource_magnesium_ore):2","마그네슘괴(resource_magnesium_ingot):1","제련기(equipment_smelter)","제련","T3","11-15","어려움","4","16","2","reward_daily_t3; reward_weekly_t3; reward_surprise_t3","생산; recipe_based; main_quest_material","마그네슘괴(resource_magnesium_ingot):1 확보가 필요한 메인 퀘스트와 연결해 제련기(equipment_smelter) 공정을 설명한다.","","마그네슘광석 투입 > 제련기 가공 > 마그네슘괴 출력","입력 자원 부족(issue_no_input); 전력 부족(issue_no_power); 출력 공간 부족(issue_output_full); 컨베이어 막힘(issue_conveyor_blocked); 잘못된 장비 사용(issue_wrong_machine_type); 자원 상태 불일치(issue_wrong_material_state)","Smelt_Magnesium","제련기(Smelter)","3.0"
"recipe_crush_magnesium","마그네슘 분말 제작 공정","마그네슘괴(resource_magnesium_ingot):1","마그네슘 분말(resource_magnesium_powder):2","분쇄기(equipment_grinder)","분쇄","T3","11-15","어려움","3","12","2","reward_daily_t3; reward_weekly_t3; reward_surprise_t3","가공; recipe_based; main_quest_material","마그네슘 분말(resource_magnesium_powder):2 확보가 필요한 메인 퀘스트와 연결해 분쇄기(equipment_grinder) 공정을 설명한다.","마그네슘괴 제작 공정(recipe_smelt_magnesium)","마그네슘괴 투입 > 분쇄기 가공 > 마그네슘 분말 출력","입력 자원 부족(issue_no_input); 전력 부족(issue_no_power); 출력 공간 부족(issue_output_full); 컨베이어 막힘(issue_conveyor_blocked); 잘못된 장비 사용(issue_wrong_machine_type); 자원 상태 불일치(issue_wrong_material_state)","Crush_Magnesium","분쇄기(Grinder)","1.5"
"recipe_smelt_gold","금괴 제작 공정","금광석(resource_gold_ore):2","금괴(resource_gold_ingot):1","제련기(equipment_smelter)","제련","T4","16-20","고급","3","12","2","reward_daily_t4; reward_weekly_t4; reward_surprise_t4","생산; recipe_based; main_quest_material","금괴(resource_gold_ingot):1 확보가 필요한 메인 퀘스트와 연결해 제련기(equipment_smelter) 공정을 설명한다.","","금광석 투입 > 제련기 가공 > 금괴 출력","입력 자원 부족(issue_no_input); 전력 부족(issue_no_power); 출력 공간 부족(issue_output_full); 컨베이어 막힘(issue_conveyor_blocked); 잘못된 장비 사용(issue_wrong_machine_type); 자원 상태 불일치(issue_wrong_material_state)","Smelt_Gold","제련기(Smelter)","3.0"
"recipe_crush_gold","금 분말 제작 공정","금괴(resource_gold_ingot):1","금 분말(resource_gold_powder):2","분쇄기(equipment_grinder)","분쇄","T4","16-20","고급","2","8","1","reward_daily_t4; reward_weekly_t4; reward_surprise_t4","가공; recipe_based; main_quest_material","금 분말(resource_gold_powder):2 확보가 필요한 메인 퀘스트와 연결해 분쇄기(equipment_grinder) 공정을 설명한다.","금괴 제작 공정(recipe_smelt_gold)","금괴 투입 > 분쇄기 가공 > 금 분말 출력","입력 자원 부족(issue_no_input); 전력 부족(issue_no_power); 출력 공간 부족(issue_output_full); 컨베이어 막힘(issue_conveyor_blocked); 잘못된 장비 사용(issue_wrong_machine_type); 자원 상태 불일치(issue_wrong_material_state)","Crush_Gold","분쇄기(Grinder)","1.5"
"recipe_smelt_silver","은괴 제작 공정","은광석(resource_silver_ore):2","은괴(resource_silver_ingot):1","제련기(equipment_smelter)","제련","T3","11-15","어려움","4","16","2","reward_daily_t3; reward_weekly_t3; reward_surprise_t3","생산; recipe_based; main_quest_material","은괴(resource_silver_ingot):1 확보가 필요한 메인 퀘스트와 연결해 제련기(equipment_smelter) 공정을 설명한다.","","은광석 투입 > 제련기 가공 > 은괴 출력","입력 자원 부족(issue_no_input); 전력 부족(issue_no_power); 출력 공간 부족(issue_output_full); 컨베이어 막힘(issue_conveyor_blocked); 잘못된 장비 사용(issue_wrong_machine_type); 자원 상태 불일치(issue_wrong_material_state)","Smelt_Silver","제련기(Smelter)","3.0"
"recipe_crush_silver","은 분말 제작 공정","은괴(resource_silver_ingot):1","은 분말(resource_silver_powder):2","분쇄기(equipment_grinder)","분쇄","T3","11-15","어려움","3","12","2","reward_daily_t3; reward_weekly_t3; reward_surprise_t3","가공; recipe_based; main_quest_material","은 분말(resource_silver_powder):2 확보가 필요한 메인 퀘스트와 연결해 분쇄기(equipment_grinder) 공정을 설명한다.","은괴 제작 공정(recipe_smelt_silver)","은괴 투입 > 분쇄기 가공 > 은 분말 출력","입력 자원 부족(issue_no_input); 전력 부족(issue_no_power); 출력 공간 부족(issue_output_full); 컨베이어 막힘(issue_conveyor_blocked); 잘못된 장비 사용(issue_wrong_machine_type); 자원 상태 불일치(issue_wrong_material_state)","Crush_Silver","분쇄기(Grinder)","1.5"
"recipe_make_charcoal","숯 제작 공정","목재(resource_wood):2","숯(resource_charcoal):1","제련기(equipment_smelter)","제련","T1","1-5","쉬움","6","24","3","reward_daily_t1; reward_weekly_t1; reward_surprise_t1","생산; recipe_based; main_quest_material","숯(resource_charcoal):1 확보가 필요한 메인 퀘스트와 연결해 제련기(equipment_smelter) 공정을 설명한다.","","목재 투입 > 제련기 가공 > 숯 출력","입력 자원 부족(issue_no_input); 전력 부족(issue_no_power); 출력 공간 부족(issue_output_full); 컨베이어 막힘(issue_conveyor_blocked); 잘못된 장비 사용(issue_wrong_machine_type); 자원 상태 불일치(issue_wrong_material_state)","Make_Charcoal","제련기(Smelter)","2.0"
"recipe_crush_charcoal","숯가루 제작 공정","숯(resource_charcoal):1","숯가루(resource_charcoal_dust):2","분쇄기(equipment_grinder)","분쇄","T1","1-5","쉬움","5","20","3","reward_daily_t1; reward_weekly_t1; reward_surprise_t1","가공; recipe_based; main_quest_material","숯가루(resource_charcoal_dust):2 확보가 필요한 메인 퀘스트와 연결해 분쇄기(equipment_grinder) 공정을 설명한다.","숯 제작 공정(recipe_make_charcoal)","숯 투입 > 분쇄기 가공 > 숯가루 출력","입력 자원 부족(issue_no_input); 전력 부족(issue_no_power); 출력 공간 부족(issue_output_full); 컨베이어 막힘(issue_conveyor_blocked); 잘못된 장비 사용(issue_wrong_machine_type); 자원 상태 불일치(issue_wrong_material_state)","Crush_Charcoal","분쇄기(Grinder)","1.5"
"recipe_crush_coal","석탄가루 제작 공정","석탄(resource_coal):1","석탄가루(resource_coal_dust):2","분쇄기(equipment_grinder)","분쇄","T1","1-5","쉬움","5","20","3","reward_daily_t1; reward_weekly_t1; reward_surprise_t1","가공; recipe_based; main_quest_material","석탄가루(resource_coal_dust):2 확보가 필요한 메인 퀘스트와 연결해 분쇄기(equipment_grinder) 공정을 설명한다.","","석탄 투입 > 분쇄기 가공 > 석탄가루 출력","입력 자원 부족(issue_no_input); 전력 부족(issue_no_power); 출력 공간 부족(issue_output_full); 컨베이어 막힘(issue_conveyor_blocked); 잘못된 장비 사용(issue_wrong_machine_type); 자원 상태 불일치(issue_wrong_material_state)","Crush_Coal","분쇄기(Grinder)","1.5"
"recipe_make_sawdust","톱밥 제작 공정","목재(resource_wood):1","톱밥(resource_sawdust):4","분쇄기(equipment_grinder)","분쇄","T1","1-5","쉬움","5","20","3","reward_daily_t1; reward_weekly_t1; reward_surprise_t1","가공; recipe_based; main_quest_material","톱밥(resource_sawdust):4 확보가 필요한 메인 퀘스트와 연결해 분쇄기(equipment_grinder) 공정을 설명한다.","","목재 투입 > 분쇄기 가공 > 톱밥 출력","입력 자원 부족(issue_no_input); 전력 부족(issue_no_power); 출력 공간 부족(issue_output_full); 컨베이어 막힘(issue_conveyor_blocked); 잘못된 장비 사용(issue_wrong_machine_type); 자원 상태 불일치(issue_wrong_material_state)","Make_Sawdust","분쇄기(Grinder)","1.0"
"recipe_crush_sulfur","황 분말 제작 공정","황광석(resource_sulfur_ore):1","황 분말(resource_sulfur_powder):1","분쇄기(equipment_grinder)","분쇄","T2","6-10","보통","4","16","2","reward_daily_t2; reward_weekly_t2; reward_surprise_t2","가공; recipe_based; main_quest_material","황 분말(resource_sulfur_powder):1 확보가 필요한 메인 퀘스트와 연결해 분쇄기(equipment_grinder) 공정을 설명한다.","","황광석 투입 > 분쇄기 가공 > 황 분말 출력","입력 자원 부족(issue_no_input); 전력 부족(issue_no_power); 출력 공간 부족(issue_output_full); 컨베이어 막힘(issue_conveyor_blocked); 잘못된 장비 사용(issue_wrong_machine_type); 자원 상태 불일치(issue_wrong_material_state)","Crush_Sulfur","분쇄기(Grinder)","1.5"
"recipe_make_glass","유리 제작 공정","모래(resource_sand):1","유리(resource_glass):1","제련기(equipment_smelter)","제련","T2","6-10","보통","5","20","3","reward_daily_t2; reward_weekly_t2; reward_surprise_t2","생산; recipe_based; main_quest_material","유리(resource_glass):1 확보가 필요한 메인 퀘스트와 연결해 제련기(equipment_smelter) 공정을 설명한다.","","모래 투입 > 제련기 가공 > 유리 출력","입력 자원 부족(issue_no_input); 전력 부족(issue_no_power); 출력 공간 부족(issue_output_full); 컨베이어 막힘(issue_conveyor_blocked); 잘못된 장비 사용(issue_wrong_machine_type); 자원 상태 불일치(issue_wrong_material_state)","Make_Glass","제련기(Smelter)","3.0"
