자원ID,자원명,종류,획득방법,생산장비,사용처,사용레시피,관련자원,원본이름,형태,물질계열,자원타입,이미지에셋
resource_copper_ingot,구리괴,가공 자원,구리광석을 제련해 생산한다.,제련기(equipment_smelter),구리선 제작의 입력 자원,구리선 인발 공정(recipe_draw_copper_wire),구리광석(resource_copper_ore); 구리선(resource_copper_wire),copper_ingot,고체,copper,금속 주괴,
resource_aluminum_ingot,알루미늄괴,가공 자원,알루미늄광석을 제련해 생산한다.,제련기(equipment_smelter),경량 합금판 제작의 입력 자원,경량 합금판 제작 공정(recipe_forge_lightweight_alloy_plate),알루미늄광석(resource_aluminum_ore); 경량 합금판(resource_lightweight_alloy_plate),aluminum_ingot,고체,aluminum,금속 주괴,
resource_titanium_ingot,티타늄괴,가공 자원,티타늄광석을 제련해 생산한다.,제련기(equipment_smelter),티타늄 합금 제작의 입력 자원,티타늄 합금 제작 공정(recipe_forge_titanium_alloy),티타늄광석(resource_titanium_ore); 티타늄 합금(resource_titanium_alloy),titanium_ingot,고체,titanium,금속 주괴,
resource_glass,유리,가공 자원,모래를 제련해 생산한다.,제련기(equipment_smelter),강화 유리 제작의 입력 자원,강화 유리 제작 공정(recipe_temper_reinforced_glass),모래(resource_sand); 강화 유리(resource_reinforced_glass),glass,고체,glass,비금속,
resource_sulfur_powder,황 분말,가공 자원,황광석을 분쇄해 생산한다.,분쇄기(equipment_grinder),배터리 전해질 제작의 입력 자원,배터리 전해질 제작 공정(recipe_make_battery_electrolyte),황광석(resource_sulfur_ore); 배터리 전해질(resource_battery_electrolyte),sulfur_powder,고체,sulfur,비금속 분말,
resource_hydrogen,수소,가공 자원,물을 전기분해해 생산한다.,압축기(equipment_air_compressor),연료전지와 추진제 제작의 입력 자원,연료전지 제작 공정(recipe_make_fuel_cell); 이온 추진제 충전 공정(recipe_charge_ion_propellant),물(resource_water); 산소(resource_oxygen),hydrogen,기체,hydrogen,기체,
resource_oxygen,산소,가공 자원,물을 전기분해해 생산한다.,압축기(equipment_air_compressor),생명유지 모듈 제작의 입력 자원,생명유지 모듈 조립 공정(recipe_assemble_life_support_module),물(resource_water); 수소(resource_hydrogen),oxygen,기체,oxygen,기체,
resource_iron_plate,철판,중간 부품,철괴를 압연해 생산한다.,제련기(equipment_smelter),선체 프레임 제작의 입력 부품,선체 프레임 조립 공정(recipe_assemble_hull_frame),철괴(resource_iron_ingot); 선체 프레임(resource_hull_frame),iron_plate,고체,iron,구조재,
resource_copper_wire,구리선,중간 부품,구리괴를 인발해 생산한다.,분쇄기(equipment_grinder),회로기판 제작의 입력 부품,회로기판 제작 공정(recipe_make_circuit_board),구리괴(resource_copper_ingot); 회로기판(resource_circuit_board),copper_wire,고체,copper,전도체,
resource_lightweight_alloy_plate,경량 합금판,중간 부품,알루미늄괴와 탄소 복합재를 가공해 생산한다.,제련기(equipment_smelter),외장 패널 제작의 입력 부품,외장 패널 조립 공정(recipe_assemble_outer_panel),알루미늄괴(resource_aluminum_ingot); 탄소 복합재(resource_carbon_composite),lightweight_alloy_plate,고체,aluminum,경량 구조재,
resource_titanium_alloy,티타늄 합금,중간 부품,티타늄괴와 알루미늄괴를 합금해 생산한다.,제련기(equipment_smelter),엔진 프레임과 추진 코어 제작의 입력 부품,엔진 프레임 조립 공정(recipe_assemble_engine_frame); 추진 코어 조립 공정(recipe_assemble_propulsion_core),티타늄괴(resource_titanium_ingot); 알루미늄괴(resource_aluminum_ingot),titanium_alloy,고체,titanium,고강도 합금,
resource_carbon_composite,탄소 복합재,중간 부품,석탄을 가공해 생산한다.,분쇄기(equipment_grinder),경량 합금판과 외장 패널 제작의 입력 부품,경량 합금판 제작 공정(recipe_forge_lightweight_alloy_plate); 외장 패널 조립 공정(recipe_assemble_outer_panel),석탄(resource_coal),carbon_composite,고체,carbon,복합재,
resource_reinforced_glass,강화 유리,중간 부품,유리와 탄소 복합재를 가공해 생산한다.,제련기(equipment_smelter),조종석 캐노피 제작의 입력 부품,조종석 캐노피 조립 공정(recipe_assemble_cockpit_canopy),유리(resource_glass); 탄소 복합재(resource_carbon_composite),reinforced_glass,고체,glass,강화 비금속,
resource_battery_electrolyte,배터리 전해질,중간 부품,황 분말과 물을 처리해 생산한다.,펌프(equipment_pump),연료전지 제작의 입력 부품,연료전지 제작 공정(recipe_make_fuel_cell),황 분말(resource_sulfur_powder); 물(resource_water),battery_electrolyte,액체,sulfur,전해질,
resource_cryogenic_coolant,극저온 냉각제,중간 부품,헬륨을 압축해 생산한다.,압축기(equipment_air_compressor),추진 코어 제작의 입력 부품,추진 코어 조립 공정(recipe_assemble_propulsion_core),헬륨(resource_helium),cryogenic_coolant,기체,helium,냉각재,
resource_hull_frame,선체 프레임,핵심 모듈,철판과 티타늄 합금을 조립해 생산한다.,제련기(equipment_smelter),우주선 최종 조립의 입력 모듈,소형 탐사 우주선 최종 조립 공정(recipe_assemble_scout_spaceship),철판(resource_iron_plate); 티타늄 합금(resource_titanium_alloy),hull_frame,고체,structure,선체 모듈,
resource_outer_panel,외장 패널,핵심 모듈,경량 합금판과 탄소 복합재를 조립해 생산한다.,제련기(equipment_smelter),우주선 최종 조립의 입력 모듈,소형 탐사 우주선 최종 조립 공정(recipe_assemble_scout_spaceship),경량 합금판(resource_lightweight_alloy_plate); 탄소 복합재(resource_carbon_composite),outer_panel,고체,structure,외장 모듈,
resource_circuit_board,회로기판,핵심 모듈,구리선과 철판을 조립해 생산한다.,분쇄기(equipment_grinder),항법 컴퓨터와 생명유지 모듈 제작의 입력 부품,항법 컴퓨터 조립 공정(recipe_assemble_navigation_computer); 생명유지 모듈 조립 공정(recipe_assemble_life_support_module),구리선(resource_copper_wire); 철판(resource_iron_plate),circuit_board,고체,electronics,전자 부품,
resource_engine_frame,엔진 프레임,핵심 모듈,티타늄 합금과 철판을 조립해 생산한다.,제련기(equipment_smelter),추진 코어 제작의 입력 모듈,추진 코어 조립 공정(recipe_assemble_propulsion_core),티타늄 합금(resource_titanium_alloy); 철판(resource_iron_plate),engine_frame,고체,engine,엔진 모듈,
resource_fuel_cell,연료전지,핵심 모듈,수소와 배터리 전해질을 결합해 생산한다.,압축기(equipment_air_compressor),추진 코어와 생명유지 모듈 제작의 입력 모듈,추진 코어 조립 공정(recipe_assemble_propulsion_core); 생명유지 모듈 조립 공정(recipe_assemble_life_support_module),수소(resource_hydrogen); 배터리 전해질(resource_battery_electrolyte),fuel_cell,고체,energy,전력 모듈,
resource_ion_propellant,이온 추진제,핵심 모듈,수소와 헬륨을 충전해 생산한다.,압축기(equipment_air_compressor),추진 코어 제작의 입력 자원,추진 코어 조립 공정(recipe_assemble_propulsion_core),수소(resource_hydrogen); 헬륨(resource_helium),ion_propellant,기체,propellant,추진제,
resource_propulsion_core,추진 코어,핵심 모듈,엔진 프레임과 연료전지와 추진제를 조립해 생산한다.,압축기(equipment_air_compressor),우주선 최종 조립의 입력 모듈,소형 탐사 우주선 최종 조립 공정(recipe_assemble_scout_spaceship),엔진 프레임(resource_engine_frame); 연료전지(resource_fuel_cell); 이온 추진제(resource_ion_propellant),propulsion_core,고체,engine,추진 모듈,
resource_life_support_module,생명유지 모듈,핵심 모듈,산소와 연료전지와 회로기판을 조립해 생산한다.,압축기(equipment_air_compressor),우주선 최종 조립의 입력 모듈,소형 탐사 우주선 최종 조립 공정(recipe_assemble_scout_spaceship),산소(resource_oxygen); 연료전지(resource_fuel_cell); 회로기판(resource_circuit_board),life_support_module,고체,life_support,생명유지 모듈,
resource_navigation_computer,항법 컴퓨터,핵심 모듈,회로기판과 구리선을 조립해 생산한다.,분쇄기(equipment_grinder),우주선 최종 조립의 입력 모듈,소형 탐사 우주선 최종 조립 공정(recipe_assemble_scout_spaceship),회로기판(resource_circuit_board); 구리선(resource_copper_wire),navigation_computer,고체,electronics,항법 모듈,
resource_cockpit_canopy,조종석 캐노피,핵심 모듈,강화 유리를 조립해 생산한다.,제련기(equipment_smelter),우주선 최종 조립의 입력 모듈,소형 탐사 우주선 최종 조립 공정(recipe_assemble_scout_spaceship),강화 유리(resource_reinforced_glass),cockpit_canopy,고체,glass,조종석 모듈,
resource_scout_spaceship,소형 탐사 우주선,최종 제작물,핵심 모듈을 모두 조립해 완성한다.,제련기(equipment_smelter),최종 메인 퀘스트 목표,소형 탐사 우주선 최종 조립 공정(recipe_assemble_scout_spaceship),선체 프레임(resource_hull_frame); 외장 패널(resource_outer_panel); 추진 코어(resource_propulsion_core); 생명유지 모듈(resource_life_support_module); 항법 컴퓨터(resource_navigation_computer); 조종석 캐노피(resource_cockpit_canopy),scout_spaceship,고체,spaceship,최종 우주선,
